project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issues
jbn	69722	dbgi_001277	canonical	dbgi_001277		Baccharoides_calvoana_Hook_f_Isawumi			6.9344087	46.999863	looks_swapped_ch_lat_lon	missing_date
jbn	69723	dbgi_001320	canonical	dbgi_001320		unknown			6.9344087	46.999863	looks_swapped_ch_lat_lon	missing_date
jbn	69724	dbgi_001308	canonical	dbgi_001308		Geranium_maderense_Yeo			6.9344053	46.999866	looks_swapped_ch_lat_lon	missing_date
jbn	69725	dbgi_001425	canonical	dbgi_001425		unknown			6.934405	46.999866	looks_swapped_ch_lat_lon	missing_date
jbn	69726	dbgi_001342	canonical	dbgi_001342		Lagunaria			6.9344087	46.99987	looks_swapped_ch_lat_lon	missing_date
jbn	69727	dbgi_001434	canonical	dbgi_001434		Passiflora_coriacea_Juss			6.9344068	46.999874	looks_swapped_ch_lat_lon	missing_date
jbn	69728	dbgi_001317	canonical	dbgi_001317		Euphorbia_epithymoides_L			6.934124	46.999653	looks_swapped_ch_lat_lon	missing_date
jbn	69729	dbgi_001732	canonical	dbgi_001732		Crassula_ovata_MilL_Druce			6.9341173	46.999657	looks_swapped_ch_lat_lon	missing_date
jbn	69730	dbgi_001950	canonical	dbgi_001950		Tropaeolum_majus_L			6.9340854	46.9996	looks_swapped_ch_lat_lon	missing_date
jbn	69731	dbgi_001955	canonical	dbgi_001955		unknown			6.9340754	46.999622	looks_swapped_ch_lat_lon	missing_date
jbn	69732	dbgi_001977	canonical	dbgi_001977		Lobularia_maritima_L_Desv			6.93407	46.9996	looks_swapped_ch_lat_lon	missing_date
jbn	69733	dbgi_002175	canonical	dbgi_002175		Geranium			6.934049	46.999596	looks_swapped_ch_lat_lon	missing_date
jbn	69734	dbgi_001986	canonical	dbgi_001986		Ptelea_trifoliata_L_subsp_trifoliata			6.934037	46.999607	looks_swapped_ch_lat_lon	missing_date
jbn	69735	dbgi_001727	canonical	dbgi_001727		Iberis_sempervirens_L			6.9340243	46.999615	looks_swapped_ch_lat_lon	missing_date
jbn	69736	dbgi_001284	canonical	dbgi_001284		Diospyros_virginiana_L			6.934033	46.99962	looks_swapped_ch_lat_lon	missing_date
jbn	69737	dbgi_001369	canonical	dbgi_001369		Lysimachia			6.934074	46.99964	looks_swapped_ch_lat_lon	missing_date
jbn	69738	dbgi_001292	canonical	dbgi_001292		Aubrieta			6.9340744	46.999645	looks_swapped_ch_lat_lon	missing_date
jbn	69739	dbgi_002011	canonical	dbgi_002011		Linaria_purpurea_L_MilL			6.9340453	46.999603	looks_swapped_ch_lat_lon	missing_date
jbn	69740	dbgi_001970	canonical	dbgi_001970		Geranium			6.9340987	46.999584	looks_swapped_ch_lat_lon	missing_date
jbn	69741	dbgi_001952	canonical	dbgi_001952		Fuchsia			6.9341187	46.999573	looks_swapped_ch_lat_lon	missing_date
jbn	69742	dbgi_001990	canonical	dbgi_001990		Oenothera_rosea_Aiton			6.9341154	46.999573	looks_swapped_ch_lat_lon	missing_date
jbn	69743	dbgi_002005	canonical	dbgi_002005		unknown			6.9341326	46.99956	looks_swapped_ch_lat_lon	missing_date
jbn	69744	dbgi_001965	canonical	dbgi_001965		Lythrum_salicaria_L			6.934135	46.999557	looks_swapped_ch_lat_lon	missing_date
jbn	69745	dbgi_001962	canonical	dbgi_001962		Geranium			6.9341307	46.999557	looks_swapped_ch_lat_lon	missing_date
jbn	69746	dbgi_001989	canonical	dbgi_001989		Geranium_sanguineum_L			6.9341245	46.999565	looks_swapped_ch_lat_lon	missing_date
jbn	69747	dbgi_001967	canonical	dbgi_001967		Oenothera			6.9340773	46.999584	looks_swapped_ch_lat_lon	missing_date
jbn	69748	dbgi_001949	canonical	dbgi_001949		Geranium			6.9340706	46.999584	looks_swapped_ch_lat_lon	missing_date
jbn	69749	dbgi_001973	canonical	dbgi_001973		Zanthoxylum_bungeanum_Maxim			6.9341063	46.99958	looks_swapped_ch_lat_lon	missing_date
jbn	69750	dbgi_002010	canonical	dbgi_002010		Epilobium_angustifolium_L			6.9340835	46.99956	looks_swapped_ch_lat_lon	missing_date
jbn	69751	dbgi_001958	canonical	dbgi_001958		Rhus_aromatica_Aiton			6.9340906	46.999557	looks_swapped_ch_lat_lon	missing_date
jbn	69752	dbgi_001954	canonical	dbgi_001954		Geranium			6.934052	46.99957	looks_swapped_ch_lat_lon	missing_date
jbn	69753	dbgi_001998	canonical	dbgi_001998		Aethionema_armenum_Boiss			6.934029	46.99957	looks_swapped_ch_lat_lon	missing_date
jbn	69754	dbgi_001948	canonical	dbgi_001948		Hibiscus_syriacus_L			6.934037	46.999573	looks_swapped_ch_lat_lon	missing_date
jbn	69755	dbgi_001945	canonical	dbgi_001945		Lythrum_salicaria_L			6.9340243	46.99957	looks_swapped_ch_lat_lon	missing_date
jbn	69756	dbgi_001737	canonical	dbgi_001737		Sedum			6.934105	46.999653	looks_swapped_ch_lat_lon	missing_date
jbn	69757	dbgi_001374	canonical	dbgi_001374		Indigofera_tinctoria_L			6.934096	46.99965	looks_swapped_ch_lat_lon	missing_date
jbn	69758	dbgi_001298	canonical	dbgi_001298		Euphorbia_myrsinites_L			6.934098	46.999645	looks_swapped_ch_lat_lon	missing_date
jbn	69759	dbgi_001287	canonical	dbgi_001287		Rosa			6.934105	46.99964	looks_swapped_ch_lat_lon	missing_date
jbn	69760	dbgi_001278	canonical	dbgi_001278		Hypericum_olympicum_L			6.9340944	46.999638	looks_swapped_ch_lat_lon	missing_date
jbn	69761	dbgi_001351	canonical	dbgi_001351		Wisteria_floribunda_Willd_DC			6.934099	46.99963	looks_swapped_ch_lat_lon	missing_date
jbn	69762	dbgi_001389	canonical	dbgi_001389		Caragana_pygmaea_L_DC			6.934101	46.999615	looks_swapped_ch_lat_lon	missing_date
jbn	69763	dbgi_001346	canonical	dbgi_001346		unknown			6.93411	46.999622	looks_swapped_ch_lat_lon	missing_date
jbn	69764	dbgi_001279	canonical	dbgi_001279		Hypericum_androsaemum_L			6.93411	46.999607	looks_swapped_ch_lat_lon	missing_date
jbn	69765	dbgi_001294	canonical	dbgi_001294		Hypericum_perforatum_L			6.934133	46.999607	looks_swapped_ch_lat_lon	missing_date
jbn	69766	dbgi_001356	canonical	dbgi_001356		Callistemon_rigidus_R_Br_			6.9341483	46.99961	looks_swapped_ch_lat_lon	missing_date
jbn	69767	dbgi_001307	canonical	dbgi_001307		Viola_sororia_Willd			6.9341364	46.99961	looks_swapped_ch_lat_lon	missing_date
jbn	69768	dbgi_001258	canonical	dbgi_001258		Parietaria_officinalis_L			6.934143	46.999622	looks_swapped_ch_lat_lon	missing_date
jbn	69769	dbgi_001282	canonical	dbgi_001282		unknown			6.9341345	46.999626	looks_swapped_ch_lat_lon	missing_date
jbn	69770	dbgi_001310	canonical	dbgi_001310		Bryonia_dioica_Jacq			6.9341235	46.999638	looks_swapped_ch_lat_lon	missing_date
jbn	69771	dbgi_001944	canonical	dbgi_001944		Althaea_officinalis_L			6.9340234	46.99957	looks_swapped_ch_lat_lon	missing_date
jbn	69772	dbgi_001969	canonical	dbgi_001969		Geranium			6.9339976	46.99959	looks_swapped_ch_lat_lon	missing_date
jbn	69773	dbgi_002000	canonical	dbgi_002000		unknown			6.9340053	46.9996	looks_swapped_ch_lat_lon	missing_date
jbn	69774	dbgi_001979	canonical	dbgi_001979		Alyssum_montanum_L			6.934015	46.999596	looks_swapped_ch_lat_lon	missing_date
jbn	76470	dbgi_009230	canonical	dbgi_009230				20250825141009	6.934918	47.000263	looks_swapped_ch_lat_lon	missing_taxon_name
jbn	76474	dbgi_009095	canonical	dbgi_009095				20250825144706	6.9364605	47.000534	looks_swapped_ch_lat_lon	missing_taxon_name
jbn	76475	dbgi_009341	canonical	dbgi_009341				20250825145212	6.9371934	47.0008	looks_swapped_ch_lat_lon	missing_taxon_name
